index	label	sentence	POS	numOfMetaphor
a1k-fragment02 41	0 0 0 0 0	Can't fail to be entertaining.	VERB VERB PART VERB ADJ	0
cdb-fragment04 907	0 0 0 0 0 0 0 0	How much was he going to tell her?	ADV ADJ VERB PRON VERB PART VERB PRON	0
ac2-fragment06 1520	0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0	Up until that news hit the Committee, Don had won the day with his UK Vehicle Division proposals.	ADP ADP DET NOUN VERB DET PROPN PROPN VERB VERB DET NOUN ADP ADJ PROPN PROPN PROPN NOUN	3
kbc-fragment13 5871	0 0 0 0 0 0 0 0 0 0 0 0	Could go on to the rugby and go with them couldn't he?	VERB VERB PART ADP DET NOUN CCONJ VERB ADP PRON VERB PRON	0
ahb-fragment51 734	0 0 0 0 0 0 0 1 1 0 0 0 0 1	Finally, we went to the office and they gave us a cheque, which bounced.	ADV PRON VERB ADP DET NOUN CCONJ PRON VERB PRON DET NOUN ADJ VERB	3
acj-fragment01 98	0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0	It must be shown that the defendant intended( which, again, includes both purpose and awareness of practical certainty) to cause really serious injury to someone.	PRON VERB VERB VERB ADP DET NOUN VERB ADJ ADV VERB DET NOUN CCONJ NOUN ADP ADJ NOUN PART VERB ADV ADJ NOUN ADP NOUN	3
ac2-fragment06 1508	0 0 0 0 0 0 0 0	The Englishman nodded and poured himself more coffee.	DET PROPN VERB CCONJ VERB PRON ADJ NOUN	0
ccw-fragment03 1603	0 0	I demanded.	PRON VERB	0
b1g-fragment02 1243	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	What is not known is information on the locations of former sites, at which quite toxic materials may have been dumped, though recent work by Egger( 1989) in Austria has mapped a vast number of such sites.	NOUN VERB ADV VERB VERB NOUN ADP DET NOUN ADP ADJ NOUN ADP ADJ ADV ADJ NOUN VERB VERB VERB VERB ADP ADJ NOUN ADP PROPN NUM ADP PROPN VERB VERB DET ADJ NOUN ADP ADJ NOUN	0
kbd-fragment07 2466	1 0 0 0	That's getting in the	DET VERB ADP DET	1
fet-fragment01 20	0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1	He had trouble finding an appropriate language for the painter's obsession with the illuminated material world.	PRON VERB NOUN VERB DET ADJ NOUN ADP DET NOUN NOUN ADP DET VERB NOUN NOUN	5
bpa-fragment14 2187	0 0 0 0 1 0	And yet he'd disappeared, without trace.	CCONJ ADV PRON VERB ADP NOUN	1
kbw-fragment04 2395	0 0 0 0 0 0 0 0 0 0 0	Why didn't you want to buy the same one again mum?	ADV VERB PRON VERB PART VERB DET ADJ NUM ADV ADJ	0
c8t-fragment01 17	0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	It was a substantial, two-storey, L-shaped house standing to the east of the track with walls partly flint and partly rendered, enclosing at the rear a courtyard of York stone which gave an uninterrupted view over fifty yards of scrub to the grassy dunes and the sea.	PRON VERB DET ADJ NOUN VERB NOUN VERB ADP DET NOUN ADP DET NOUN ADP NOUN ADV VERB CCONJ ADV VERB VERB ADP DET NOUN DET NOUN ADP PROPN NOUN ADJ VERB DET ADJ NOUN ADP NUM NOUN ADP NOUN ADP DET ADJ NOUN CCONJ DET NOUN	2
a2d-fragment05 34	0 0 0 0 0 1 0 1 1 1	Now, however, it seems, the wheel has turned full circle.	ADV ADV PRON VERB DET NOUN VERB VERB ADJ NOUN	4
kbd-fragment07 2711	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	They've been to his little boy's primary school, interviewed the teachers and headmistress and all the school friends and everything just trying to get a dirty story.	PRON VERB ADP ADJ ADJ NOUN ADJ NOUN VERB DET NOUN CCONJ NOUN CCONJ ADJ DET NOUN NOUN CCONJ NOUN ADV VERB PART VERB DET ADJ NOUN	3
kcv-fragment42 4641	0 0	Isobel wants	PROPN VERB	0
cdb-fragment02 361	0 0 0 0 0 0 1 0 0 0	They were expensive to buy and came a day late.	PRON VERB ADJ PART VERB CCONJ VERB DET NOUN ADV	1
ahf-fragment63 1226	0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1	Sir David English was not informed of the visit and in consequence had no plans to attend the Ideal Home Exhibition that day, the official statement announced.	PROPN PROPN PROPN VERB ADV VERB ADP DET NOUN CCONJ ADP NOUN VERB DET NOUN PART VERB DET PROPN PROPN NOUN DET NOUN DET ADJ NOUN VERB	5
amm-fragment02 1664	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	The outline of the soft parts are also clearly displayed, so that the animal has been preserved almost in frozen motion.	DET NOUN ADP DET ADJ NOUN VERB ADV ADV VERB ADP ADP DET NOUN VERB VERB VERB ADV ADP ADJ NOUN	2
